Rank,Dex #,Base Species,Votes,
992nd,954,Rabsca,1,
993rd,895,Regidrago,1,
994th,952,Scovillain,1,
995th,364,Sealeo,1,
996th,944,Shroodle,1,
997th,21,Spearow,1,
998th,918,Spidops,1,
999th,931,Squawkabilly,1,
1000th,397,Staravia,1,
1001st,787,Tapu Bulu,1,
1002nd,788,Tapu Fini,1,
1003rd,917,Tarountula,1,
1004th,639,Terrakion,1,
1005th,538,Throh,1,
1006th,641,Tornadus,1,
1007th,520,Tranquill,1,
1008th,288,Vigoroth,1,
1009th,629,Vullaby,1,
1010th,899,Wyrdeer,1,
1011th,883,Arctovish,0,
1012th,846,Arrokuda,0,
1013th,946,Bramblin,0,
1014th,318,Carvanha,0,
1015th,910,Crocalor,0,
1016th,1011,Dipplin,0,
1017th,42,Golbat,0,
1018th,829,Gossifleur,0,
1019th,735,Gumshoos,0,
1020th,367,Huntail,0,
1021st,314,Illumise,0,
1022nd,1023,Iron Crown,0,
1023rd,993,Iron Jugulis,0,
1024th,990,Iron Treads,0,
1025th,916,Oinkologne,0,
1026th,837,Rolycoly,0,
1027th,843,Silicobra,0,
1028th,938,Tadbulb,0,
1029th,72,Tentacool,0,
1030th,976,Veluza,0,
